2024-12-14T10:35:14.066Z: [32minfo[39m: PUT /vehicle/675c84d4e41a330a4b51f4a7 200 103.816 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:14 GMT
2024-12-14T10:35:14.071Z: [32minfo[39m: OPTIONS /vehicle 204 0.092 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:14 GMT
2024-12-14T10:35:14.177Z: [32minfo[39m: GET /vehicle 200 102.751 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:14 GMT
2024-12-14T10:35:26.481Z: [32minfo[39m: OPTIONS /vehicle/675c974b3dc85b1338135d31 204 0.056 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:26 GMT
2024-12-14T10:35:26.600Z: [32minfo[39m: PUT /vehicle/675c974b3dc85b1338135d31 200 116.552 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:26 GMT
2024-12-14T10:35:26.604Z: [32minfo[39m: OPTIONS /vehicle 204 0.096 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:26 GMT
2024-12-14T10:35:26.710Z: [32minfo[39m: GET /vehicle 200 103.000 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:26 GMT
2024-12-14T10:35:39.236Z: [32minfo[39m: OPTIONS /vehicle/675c9e5450c347cda6d5bf40 204 0.093 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:39 GMT
2024-12-14T10:35:39.343Z: [32minfo[39m: PUT /vehicle/675c9e5450c347cda6d5bf40 200 104.531 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:39 GMT
2024-12-14T10:35:39.346Z: [32minfo[39m: OPTIONS /vehicle 204 0.083 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Sat, 14 Dec 2024 10:35:39 GMT
